analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,station_id,variable,baseline_total,zero_hour_ratio,peak_concentration,credibility_weight,method
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S014,borrow,203.0,0.16666666666666666,0.10344827586206896,0.797088122605364,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S015,borrow,174.0,0.125,0.09195402298850575,0.7432758620689655,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S016,borrow,179.0,0.16666666666666666,0.09497206703910614,0.7454500310366233,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S017,borrow,144.0,0.08333333333333333,0.08333333333333333,0.6866666666666668,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S018,borrow,130.0,0.20833333333333334,0.09230769230769231,0.6287606837606837,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S019,borrow,131.0,0.16666666666666666,0.10687022900763359,0.6364037319762511,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S020,borrow,140.0,0.16666666666666666,0.1,0.6577777777777778,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S021,borrow,120.0,0.20833333333333334,0.10833333333333334,0.6033333333333333,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S022,borrow,127.0,0.16666666666666666,0.10236220472440945,0.628416447944007,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S023,borrow,138.0,0.16666666666666666,0.10144927536231885,0.6530434782608696,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S024,borrow,136.0,0.16666666666666666,0.08823529411764706,0.6512418300653595,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S025,borrow,135.0,0.08333333333333333,0.08888888888888889,0.6655555555555556,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S026,borrow,124.0,0.25,0.0967741935483871,0.6062007168458782,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S027,borrow,136.0,0.08333333333333333,0.07352941176470588,0.6708496732026143,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S028,borrow,129.0,0.16666666666666666,0.11627906976744186,0.630077519379845,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S029,borrow,144.0,0.08333333333333333,0.09027777777777778,0.6852777777777779,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S030,borrow,120.0,0.20833333333333334,0.09166666666666666,0.6066666666666667,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S001,return,252.0,0.125,0.07936507936507936,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S002,return,238.0,0.16666666666666666,0.10084033613445378,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S003,return,240.0,0.20833333333333334,0.11666666666666667,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S004,return,247.0,0.125,0.06477732793522267,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S005,return,258.0,0.25,0.07751937984496124,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S006,return,253.0,0.08333333333333333,0.07905138339920949,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S007,return,248.0,0.20833333333333334,0.08064516129032258,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S008,return,236.0,0.08333333333333333,0.06779661016949153,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S009,return,175.0,0.16666666666666666,0.09714285714285714,0.7542148394241418,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S010,return,189.0,0.08333333333333333,0.09523809523809523,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S011,return,179.0,0.20833333333333334,0.1005586592178771,0.7545006712571997,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S012,return,192.0,0.20833333333333334,0.09895833333333333,0.7850532945736434,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S013,return,183.0,0.041666666666666664,0.08743169398907104,0.7997617232176897,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S014,return,180.0,0.16666666666666666,0.10555555555555556,0.7641602067183463,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S015,return,170.0,0.16666666666666666,0.09411764705882353,0.7431919744642043,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S016,return,189.0,0.08333333333333333,0.08994708994708994,0.8,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S017,return,129.0,0.16666666666666666,0.10852713178294573,0.6449612403100775,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S018,return,130.0,0.2916666666666667,0.08461538461538462,0.6270691711389386,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S019,return,143.0,0.125,0.1048951048951049,0.6865791185558627,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S020,return,117.0,0.20833333333333334,0.1111111111111111,0.608204134366925,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S021,return,129.0,0.2916666666666667,0.10852713178294573,0.6199612403100775,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S022,return,116.0,0.20833333333333334,0.10344827586206896,0.6074111200213848,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S023,return,142.0,0.25,0.09859154929577464,0.66051424828038,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S024,return,133.0,0.20833333333333334,0.11278195488721804,0.6450792679372851,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S025,return,133.0,0.16666666666666666,0.09774436090225563,0.656420120067611,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S026,return,119.0,0.25,0.11764705882352941,0.6032147742818058,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S027,return,124.0,0.125,0.11290322580645161,0.6407914478619656,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S028,return,131.0,0.16666666666666666,0.10687022900763359,0.6499437836558376,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S029,return,138.0,0.20833333333333334,0.10869565217391304,0.6575244354566903,raw_continuous
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,S030,return,126.0,0.125,0.0873015873015873,0.650562938353636,raw_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S001,borrow,250.0,0.125,0.08,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S002,borrow,267.0,0.08333333333333333,0.08614232209737828,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S003,borrow,252.0,0.08333333333333333,0.08333333333333333,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S004,borrow,234.0,0.125,0.06837606837606838,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S005,borrow,270.0,0.125,0.07407407407407407,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S006,borrow,256.0,0.20833333333333334,0.078125,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S007,borrow,257.0,0.20833333333333334,0.07782101167315175,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S008,borrow,234.0,0.2916666666666667,0.06837606837606838,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S009,borrow,179.0,0.20833333333333334,0.0893854748603352,0.738234016139044,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S010,borrow,176.0,0.16666666666666666,0.09090909090909091,0.7395959595959596,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S011,borrow,197.0,0.125,0.09137055837563451,0.7945036661026509,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S012,borrow,182.0,0.16666666666666666,0.1043956043956044,0.7502319902319903,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S013,borrow,168.0,0.20833333333333334,0.09523809523809523,0.7126190476190477,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S014,borrow,203.0,0.16666666666666666,0.10344827586206896,0.797088122605364,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S015,borrow,174.0,0.125,0.09195402298850575,0.7432758620689655,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S016,borrow,179.0,0.16666666666666666,0.09497206703910614,0.7454500310366233,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S017,borrow,144.0,0.08333333333333333,0.08333333333333333,0.6866666666666668,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S018,borrow,130.0,0.20833333333333334,0.09230769230769231,0.6287606837606837,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S019,borrow,131.0,0.16666666666666666,0.10687022900763359,0.6364037319762511,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S020,borrow,140.0,0.16666666666666666,0.1,0.6577777777777778,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S021,borrow,120.0,0.20833333333333334,0.10833333333333334,0.6033333333333333,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S022,borrow,127.0,0.16666666666666666,0.10236220472440945,0.628416447944007,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S023,borrow,138.0,0.16666666666666666,0.10144927536231885,0.6530434782608696,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S024,borrow,136.0,0.16666666666666666,0.08823529411764706,0.6512418300653595,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S025,borrow,135.0,0.08333333333333333,0.08888888888888889,0.6655555555555556,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S026,borrow,124.0,0.25,0.0967741935483871,0.6062007168458782,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S027,borrow,136.0,0.08333333333333333,0.07352941176470588,0.6708496732026143,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S028,borrow,129.0,0.16666666666666666,0.11627906976744186,0.630077519379845,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S029,borrow,144.0,0.08333333333333333,0.09027777777777778,0.6852777777777779,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S030,borrow,120.0,0.20833333333333334,0.09166666666666666,0.6066666666666667,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S001,return,252.0,0.125,0.07936507936507936,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S002,return,238.0,0.16666666666666666,0.10084033613445378,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S003,return,240.0,0.20833333333333334,0.11666666666666667,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S004,return,247.0,0.125,0.06477732793522267,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S005,return,258.0,0.25,0.07751937984496124,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S006,return,253.0,0.08333333333333333,0.07905138339920949,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S007,return,248.0,0.20833333333333334,0.08064516129032258,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S008,return,236.0,0.08333333333333333,0.06779661016949153,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S009,return,175.0,0.16666666666666666,0.09714285714285714,0.7542148394241418,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S010,return,189.0,0.08333333333333333,0.09523809523809523,0.8,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S011,return,179.0,0.20833333333333334,0.1005586592178771,0.7545006712571997,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S012,return,192.0,0.20833333333333334,0.09895833333333333,0.7850532945736434,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S013,return,183.0,0.041666666666666664,0.08743169398907104,0.7997617232176897,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S014,return,180.0,0.16666666666666666,0.10555555555555556,0.7641602067183463,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S015,return,170.0,0.16666666666666666,0.09411764705882353,0.7431919744642043,nonnegative_continuous
05_feasibility_correction,nonnegative_continuous,Only force nonnegativity; keep continuous values.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,nonnegative_continuous,S016,return,189.0,0.08333333333333333,0.08994708994708994,0.8,nonnegative_continuous
